SDFB Person ID,ODNB ID,Display Name,Prefix,First Name,Last Name,Suffix,Title,All Search Names,Gender,Historical Significance,Birth Year Type,Extant Birth Year,Alternate Birth Year,Death Year Type,Extant Death Year,Alternate Death Year,Group List
10005815,13002,James Hepburn,"",James,Hepburn,"","","James Hepburn, James, James Hepburn",male,orientalist,IN,1573,1573,AF/IN,1623,1623,[]
10007183,16127,John Laurence,"",John,Laurence,"","","John Laurence, John, John Laurence",male,writer on gardening,IN,1668,1668,IN,1732,1732,[]
10005953,13283,Joseph Hill,"",Joseph,Hill,"","","Joseph Hill, Joseph, Joseph Hill",male,nonconformist minister,IN,1625,1625,IN,1707,1707,[]
10011043,25406,Andrew Shilling,"",Andrew,Shilling,"","","Andrew Shilling, Andrew, Andrew Shilling",male,naval officer in the East India Company,AF,1511,NA,IN,1621,1621,[]
10004471,9910,Sir John Forster,Sir,John,Forster,"","","John Forster, Sir John, Sir John Forster, Sir Forster, John, John Forster",male,administrator and soldier,IN,1515,1515,IN,1602,1602,[]
10010838,24975,John Scudamore,"",John,Scudamore,"","","John Scudamore, John, John Scudamore",male,diplomat and politician,IN,1601,1601,IN,1671,1671,[]
10006834,15369,Gilbert Kennedy,"",Gilbert,Kennedy,"","","Gilbert Kennedy, Gilbert, Gilbert Kennedy",male,nobleman,IN,1541,1541,IN,1576,1576,[]
10010293,23623,Thomas Ridgeway,"",Thomas,Ridgeway,"","","Thomas Ridgeway, Thomas, Thomas Ridgeway",male,administrator and politician,IN,1565,1565,IN,1632,1632,[]
10007984,49668,Thomas Marow,"",Thomas,Marow,"","","Thomas Marow, Thomas, Thomas Marow",male,lawyer,IN,1460,1465,IN,1505,1505,[]
10008175,18522,Brian Melbancke,"",Brian,Melbancke,"","","Brian Melbancke, Brian, Brian Melbancke",male,writer,AF,1490,NA,IN,1600,1600,[]
10005954,13284,Joseph Hill,"",Joseph,Hill,"","","Joseph Hill, Joseph, Joseph Hill",male,Presbyterian minister,IN,1667,1667,IN,1729,1729,[]
10013018,29775,William Wintersel,"",William,Wintersel,"","","William Wintersel, William Wintershull, William, William Wintersel",male,actor,AF,1569,NA,IN,1679,1679,[]
10002264,5069,David Chalmers of Ormond,"",David,Chalmers,of Ormond,"","David Chalmers of Ormond, David Chambers of Ormond, David, David Chalmers, David Chalmers of Ormond, David of Ormond",male,historian and judge,IN,1533,1533,IN,1592,1592,[]
10003536,66390,Nicholas Dixon,"",Nicholas,Dixon,"","","Nicholas Dixon, Nicholas, Nicholas Dixon",male,miniature painter,CA,1645,1645,IN,1708,1720,[]
10006282,13947,Lord William Howard,Lord,William,Howard,"","","William Howard, Lord William, Lord William Howard, Lord Howard, William, William Howard",male,antiquary and landowner,IN,1563,1563,IN,1640,1640,[]
10006721,0,Jacob Jordaens,"",Jacob,Jordaens,"","","Jacob Jordaens, Jacob, Jacob Jordaens",male,NA,IN,1593,NA,IN,1678,NA,[]
10004637,69083,Mary Gadbury,"",Mary,Gadbury,"","","Mary Gadbury, Mary, Mary Gadbury",female,"",CA,1619,1619,BF,1729,NA,[]
10000491,1027,Thomas Bagard,"",Thomas,Bagard,"","","Thomas Bagard, Thomas, Thomas Bagard",male,civil lawyer and divine,AF,1434,NA,IN,1544,1544,[]
10012589,28843,John Watson,"",John,Watson,"","","John Watson, John, John Watson",male,college head,AF,1427,NA,IN,1537,1537,[]
10007404,16620,James Ley,"",James,Ley,"","","James Ley, James, James Ley",male,naval officer,IN,1618,1619,IN,1665,1665,[]
10007589,58144,Sir Walter Long,Sir,Walter,Long,"","","Walter Long, Sir Walter, Sir Walter Long, Sir Long, Walter, Walter Long",male,politician,IN,1591,1591,IN,1672,1672,[]
10006692,68197,John Jones,"",John,Jones,"","","John Jones, John, John Jones",male,copyist and manuscript collector,BF,1585,1585,BF/IN,1658,1658,[]
10006740,15154,George Joyliffe,"",George,Joyliffe,"","","George Joyliffe, George, George Joyliffe",male,anatomist and physician,IN,1621,1621,IN,1658,1658,[]
10011556,26480,James Stewart,"",James,Stewart,"","","James Stewart, James, James Stewart",male,magnate and murder victim,IN,1565,1566,IN,1592,1592,[]
10007758,69917,Alexander MacDonald of Dunyvaig and the Glens,"",Alexander,MacDonald,of Dunyvaig and the Glens,"","Alexander MacDonald of Dunyvaig and the Glens, Alexander, Alexander MacDonald, Alexander MacDonald of Dunyvaig and the Glens, Alexander of Dunyvaig and the Glens",male,clan chief,AF,1426,NA,IN,1536,1539,[]
10011605,53119,William Stonestreet,"",William,Stonestreet,"","","William Stonestreet, William, William Stonestreet",male,antiquary,IN,1659,1659,IN,1716,1716,[]
10011416,24508,Christopher St Lawrence,"",Christopher,St Lawrence,"","","Christopher St Lawrence, Christopher, Christopher St Lawrence",male,soldier and informer,AF,1509,NA,IN,1619,1619,[]
10010074,23030,William Rainolds,"",William,Rainolds,"","","William Rainolds, William Reynolds, William, William Rainolds",male,Roman Catholic priest and author,CA,1544,1544,IN,1594,1594,[]
10003152,93684,Thomas Cure,"",Thomas,Cure,"","","Thomas Cure, Thomas, Thomas Cure",male,saddler,AF,1478,NA,IN,1588,1588,[]
10006508,68331,Gilbert Jackson,"",Gilbert,Jackson,"","","Gilbert Jackson, Gilbert, Gilbert Jackson",male,portrait painter,IN,1621,1621,IN,1643,1643,[]
10009329,21342,Sir Thomas Parker,Sir,Thomas,Parker,"","","Thomas Parker, Sir Thomas, Sir Thomas Parker, Sir Parker, Thomas, Thomas Parker",male,judge,IN,1695,1695,IN,1784,1784,[]
10000659,68873,John Barlow,"",John,Barlow,"","","John Barlow, John, John Barlow",male,"",IN,1517,1517,IN,1552,1552,[]
10008677,19712,Daniel Mytens,"",Daniel,Mytens,"","","Daniel Mytens, Daniel Mijtens, Daniel, Daniel Mytens",male,painter,IN,1590,1590,IN,1647,1647,[]
10012689,29053,Thomas Wentworth,"",Thomas,Wentworth,"","","Thomas Wentworth, Thomas, Thomas Wentworth",male,nobleman,IN,1501,1501,IN,1551,1551,[]
10007732,17374,Uilliam Mac Cairteain,"",Uilliam,Mac Cairteain,"","","Uilliam Mac Cairteain, Uilliam, Uilliam Mac Cairteain",male,poet and scribe,IN,1667,1668,IN,1724,1724,[]
10010068,70911,Robert Raikes,"",Robert,Raikes,"","","Robert Raikes, Robert, Robert Raikes",male,printer and newspaper proprietor,IN,1690,1690,IN,1757,1757,[]
10008412,19060,Hugh Montgomery,"",Hugh,Montgomery,"","","Hugh Montgomery, Hugh Montgomerie, Hugh, Hugh Montgomery",male,army officer,IN,1613,1613,IN,1669,1669,[]
10011495,26318,Thomas Starkey,"",Thomas,Starkey,"","","Thomas Starkey, Thomas, Thomas Starkey",male,humanist and royal servant,IN,1498,1498,IN,1538,1538,[]
10009026,0,Rory O'Donnell Earl of Tyrconnell,"",Rory,O'Donnell,"",Earl of Tyrconnell,"Rory O'Donnell, Rury O'Donnell, Ruaidhri O Domhnaill, Rory, Rory O'Donnell, Rory O'Donnell Earl of Tyrconnell",male,magnate and soldier,IN,1574,1575,IN,1608,NA,[]
10002634,5834,John Colbatch,"",John,Colbatch,"","","John Colbatch, John, John Colbatch",male,Church of England clergyman and university teacher,IN,1665,1665,IN,1748,1748,[]
10008411,19059,Hugh Montgomery,"",Hugh,Montgomery,"","","Hugh Montgomery, Hugh Montgomerie, Hugh, Hugh Montgomery",male,nobleman,CA,1531,1531,IN,1585,1585,[]
10011414,24504,Oliver St John,"",Oliver,St John,"","","Oliver St John, Oliver, Oliver St John",male,lawyer and politician,IN,1598,1598,IN,1673,1673,"[""Providence Island Company""]"
10007739,17686,Hugh Oge Mac Mahon,"",Hugh Oge,Mac Mahon,"","","Hugh Oge Mac Mahon, Hugh Oge MacMahon, Hugh Oge, Hugh Oge Mac Mahon",male,conspirator,IN,1606,1607,IN,1644,1644,[]
10011498,26331,Sir John Stawell,Sir,John,Stawell,"","","John Stawell, Sir John, Sir John Stawell, Sir Stawell, John, John Stawell",male,royalist army officer,IN,1599,1600,IN,1662,1662,[]
10003079,37326,Sir Robert Crosse,Sir,Robert,Crosse,"","","Robert Crosse, Sir Robert, Sir Robert Crosse, Sir Crosse, Robert, Robert Crosse",male,naval commander,IN,1547,1547,IN,1611,1611,[]
10007546,16901,Sir George Lockhart of Carnwath,Sir,George,Lockhart,of Carnwath,"","George Lockhart of Carnwath, Sir George, Sir George Lockhart, Sir George Lockhart of Carnwath, Sir George of Carnwath, Sir Lockhart, Sir Lockhart of Carnwath, George, George Lockhart, George Lockhart of Carnwath, George of Carnwath",male,advocate and judge,IN,1630,1630,IN,1689,1689,[]
10011485,26297,Edward Staples,"",Edward,Staples,"","","Edward Staples, Edward, Edward Staples",male,bishop of Meath,CA,1490,1490,AF,1558,1558,[]
10005493,12201,John Hanmer,"",John,Hanmer,"","","John Hanmer, John, John Hanmer",male,Presbyterian minister,IN,1642,1642,IN,1707,1707,[]
10001411,66564,Dorothy Boyle,"",Dorothy,Boyle,"","","Dorothy Boyle, Dorothy Savile, Dorothy, Dorothy Boyle",female,portrait painter and caricaturist,IN,1699,1699,IN,1758,1758,[]
10001514,70865,William Brereton,"",William,Brereton,"","","William Brereton, William, William Brereton",male,courtier and administrator,CA,1487,1490,IN,1536,1536,[]
10005957,53038,Oliver Hill,"",Oliver,Hill,"","","Oliver Hill, Oliver, Oliver Hill",male,theologian and government agent,CA,1630,1630,AF,1702,1702,[]
10005944,13264,Aaron Hill,"",Aaron,Hill,"","","Aaron Hill, Aaron, Aaron Hill",male,writer and entrepreneur,IN,1685,1685,IN,1750,1750,[]
10007719,17304,Sir Charles Lyttelton,Sir,Charles,Lyttelton,"","","Sir Charles Lyttelton, Sir Charles Littelton, Sir Charles, Sir Charles Lyttelton, Sir Lyttelton, Charles, Charles Lyttelton",male,colonial governor and politician,IN,1629,1629,IN,1716,1716,[]
10010650,24583,Robert Saltwood,"",Robert,Saltwood,"","","Robert Saltwood, Robert, Robert Saltwood",male,author and Benedictine monk,IN,1518,1518,IN,1538,1538,[]
10005450,12102,John Hamilton,"",John,Hamilton,"","","John Hamilton, John, John Hamilton",male,Roman Catholic archbishop of St Andrews,IN,1510,1511,IN,1571,1571,[]
10008913,20338,Bonham Norton,"",Bonham,Norton,"","","Bonham Norton, Bonham, Bonham Norton",male,printer and bookseller,IN,1565,1565,IN,1635,1635,[]
10008563,19410,Robert Mossom,"",Robert,Mossom,"","","Robert Mossom, Robert, Robert Mossom",male,Church of Ireland bishop of Derry,IN,1617,1617,IN,1679,1679,[]
10002266,5038,James Chaloner,"",James,Chaloner,"","","James Chaloner, James, James Chaloner",male,politician,IN,1602,1602,IN,1660,1660,[]
10013191,30125,Joseph Wyeth,"",Joseph,Wyeth,"","","Joseph Wyeth, Joseph, Joseph Wyeth",male,religious writer,IN,1663,1663,IN,1731,1731,[]
10012880,29408,Sir Thomas Wilford,Sir,Thomas,Wilford,"","","Thomas Wilford, Sir Thomas, Sir Thomas Wilford, Sir Wilford, Thomas, Thomas Wilford",male,soldier,IN,1530,1530,IN,1610,1610,[]
10012848,0,Rowland Whyte,"",Rowland,Whyte,"","","Rowland Whyte, Rowland, Rowland Whyte",male,NA,BF,1580,NA,AF,1607,NA,[]
10007205,16196,George Lawson,"",George,Lawson,"","","George Lawson, George, George Lawson",male,Church of England clergyman and political writer,CA,1598,1598,IN,1678,1678,[]
10002350,5199,Maurice Chauncy,"",Maurice,Chauncy,"","","Maurice Chauncy, Maurice, Maurice Chauncy",male,prior of Sheen Anglorum and martyrologist,IN,1509,1509,IN,1581,1581,[]
10008657,19662,Sir Philip Musgrave,Sir,Philip,Musgrave,"","","Philip Musgrave, Sir Philip, Sir Philip Musgrave, Sir Musgrave, Philip, Philip Musgrave",male,royalist army officer and local politician,IN,1607,1607,IN,1678,1678,[]
10002754,6118,George Constantine,"",George,Constantine,"","","George Constantine, George, George Constantine",male,evangelical reformer,CA,1500,1500,BF/IN,1561,1561,[]
10003171,6970,Sir Thomas Cusack,Sir,Thomas,Cusack,"","","Thomas Cusack, Sir Thomas, Sir Thomas Cusack, Sir Cusack, Thomas, Thomas Cusack",male,lawyer and administrator,CA,1505,1505,IN,1571,1571,[]
10010294,47340,Thomas Ridgley,"",Thomas,Ridgley,"","","Thomas Ridgley, Thomas Rugeley, Thomas, Thomas Ridgley",male,physician,IN,1576,1576,IN,1656,1656,[]
10012197,27961,Edward Tyson,"",Edward,Tyson,"","","Edward Tyson, Edward, Edward Tyson",male,physician and anatomist,IN,1651,1651,IN,1708,1708,[]
10005837,38608,Lady Mary Herbert,Lady,Mary,Herbert,"","","Mary Herbert, Lady Mary, Lady Mary Herbert, Lady Herbert, Mary, Mary Herbert",female,speculator and mining entrepreneur,IN,1686,1686,IN,1775,1775,[]
10000030,74110,Josephus Abudacnus,"",Josephus,Abudacnus,"","","Josephus Abudacnus, Josephus, Josephus Abudacnus",male,scholar of oriental languages,IN,1595,1595,IN,1643,1643,[]
10011019,25361,Henry Sherfield,"",Henry,Sherfield,"","","Henry Sherfield, Henry, Henry Sherfield",male,lawyer and iconoclast,IN,1572,1572,IN,1634,1634,[]
10009597,22024,Hugh Peter,"",Hugh,Peter,"","","Hugh Peter, Hugh Peters, Hugh, Hugh Peter",male,Independent minister,IN,1598,1598,IN,1660,1660,[]
10009845,22565,George Porter,"",George,Porter,"","","George Porter, George, George Porter",male,Jacobite conspirator and informer,IN,1659,1659,IN,1728,1728,[]
10004645,10277,William Gager,"",William,Gager,"","","William Gager, William, William Gager",male,Latin playwright and poet,IN,1555,1555,IN,1622,1622,[]
10005881,13138,Martin Heton,"",Martin,Heton,"","","Martin Heton, Martin, Martin Heton",male,bishop of Ely,IN,1554,1554,IN,1609,1609,[]
10011842,27119,Richard Temple,"",Richard,Temple,"","","Richard Temple, Richard, Richard Temple",male,politician and landowner,IN,1675,1675,IN,1749,1749,[]
10006676,14977,Thomas Jollie the younger,"",Thomas,Jollie,the younger,"","Thomas Jollie the younger, Thomas Jolly the younger, Thomas, Thomas Jollie, Thomas Jollie the younger, Thomas the younger",male,Independent minister,IN,1687,1687,IN,1764,1764,[]
10009535,69152,Mary Pennyman,"",Mary,Pennyman,"","","Mary Pennyman, Mary Heron, Mary Boreman, Mary, Mary Pennyman",female,"",IN,1630,1630,IN,1701,1701,[]
10009742,22333,Thomas Pitt,"",Thomas,Pitt,"","","Thomas Pitt, Thomas, Thomas Pitt",male,merchant and politician,IN,1653,1653,IN,1726,1726,[]
10006677,0,Timothy Jollie,"",Timothy,Jollie,"","","Timothy Jollie, Timothy Jolly, Timothy, Timothy Jollie",male,NA,IN,1656,1659,IN,1714,NA,[]
10006667,14944,John Johnston,"",John,Johnston,"","","John Johnston, John, John Johnston",male,scholar and poet,IN,1565,1565,IN,1611,1611,[]
10010610,24456,Anthony Sadler,"",Anthony,Sadler,"","","Anthony Sadler, Anthony, Anthony Sadler",male,Church of England clergyman,IN,1602,1602,IN,1643,1643,[]
10007398,16604,Thomas Lewis,"",Thomas,Lewis,"","","Thomas Lewis, Thomas, Thomas Lewis",male,religious controversialist,IN,1689,1689,AF/IN,1737,1737,[]
10007347,16493,John Leslie,"",John,Leslie,"","","John Leslie, John, John Leslie",male,politician,IN,1600,1600,IN,1641,1641,[]
10008474,19189,Samuel More,"",Samuel,More,"","","Samuel More, Samuel, Samuel More",male,parliamentarian army officer,CA,1594,1594,IN,1662,1662,[]
10007759,17421,Alexander Macdonald of Glencoe,"",Alexander,Macdonald,of Glencoe,"","Alexander Macdonald of Glencoe, Alexander, Alexander Macdonald, Alexander Macdonald of Glencoe, Alexander of Glencoe",male,clan chief and victim of massacre,AF,1582,NA,IN,1692,1692,[]
10005938,74064,Susanna Highmore,"",Susanna,Highmore,"","","Susanna Highmore, Susanna Hiller, Susanna, Susanna Highmore",female,poet,IN,1689,1690,IN,1750,1750,[]
10010619,24529,George Sale,"",George,Sale,"","","George Sale, George, George Sale",male,orientalist,AF/IN,1696,1696,IN,1736,1736,[]
10008472,19185,Richard More,"",Richard,More,"","","Richard More, Richard, Richard More",male,religious writer and politician,IN,1575,1575,IN,1643,1643,[]
10001620,3585,Hugh Broughton,"",Hugh,Broughton,"","","Hugh Broughton, Hugh, Hugh Broughton",male,divine and Hebraist,IN,1549,1549,IN,1612,1612,[]
