SDFB Relationship ID,Person 1 ID,Person 2 ID,Original Confidence,Maximum Confidence,Start Year Type,Start Day,Start Month,Start Year,End Year Type,End Month,End Day,End Year
100000004,10000001,10012160,52,52,AF/IN,"",,1509,BF/IN,"",,1560
100000005,10000001,10012316,53,53,AF/IN,"",,1499,BF/IN,"",,1560
100000006,10000002,10006344,46,46,AF/IN,"",,1647,BF/IN,"",,1688
100000009,10000003,10009189,43,43,AF/IN,,,1451,BF/IN,,,1497
100000011,10000008,10012118,57,57,AF/IN,,,1457,BF/IN,,,1509
100000013,10000009,10006940,12,12,AF/IN,,,1654,BF/IN,,,1727
100000014,10000009,10008485,42,42,AF/IN,,,1654,BF/IN,,,1715
100000020,10000010,10000086,96,96,AF/IN,,,1562,BF/IN,,,1616
100000021,10000010,10000117,22,22,AF/IN,,,1562,BF/IN,,,1592
100000022,10000010,10000138,28,28,AF/IN,,,1562,BF/IN,,,1632
100000024,10000010,10000175,27,27,AF/IN,,,1562,BF/IN,,,1633
100000026,10000010,10000208,94,94,AF/IN,,,1562,BF/IN,,,1626
100000029,10000010,10000474,18,18,AF/IN,,,1587,BF/IN,,,1633
100000030,10000010,10000475,15,15,AF/IN,,,1600,BF/IN,,,1633
100000031,10000010,10000504,16,16,AF/IN,,,1589,BF/IN,,,1633
100000035,10000010,10000650,39,39,AF/IN,,,1571,BF/IN,,,1633
100000036,10000010,10000665,16,16,AF/IN,,,1562,BF/IN,,,1613
100000038,10000010,10000772,43,43,AF/IN,,,1595,BF/IN,,,1633
100000040,10000010,10000874,56,56,AF/IN,,,1572,BF/IN,,,1633
100000042,10000010,10001067,84,84,AF/IN,,,1562,BF/IN,,,1616
100000043,10000010,10001099,50,50,AF/IN,,,1562,BF/IN,,,1624
100000044,10000010,10001190,52,52,AF/IN,,,1565,BF/IN,,,1633
100000047,10000010,10001563,50,50,AF/IN,,,1600,BF/IN,,,1633
100000050,10000010,10001751,49,49,AF/IN,,,1562,BF/IN,,,1628
100000051,10000010,10001782,26,26,AF/IN,,,1563,BF/IN,,,1633
100000052,10000010,10001827,12,12,AF/IN,,,1578,BF/IN,,,1633
100000054,10000010,10001880,15,15,AF/IN,,,1562,BF/IN,,,1614
100000055,10000010,10001883,16,16,AF/IN,,,1562,BF/IN,,,1633
